config,N,K,p,arm,chi,n_eff,entropy
paper defaults,200,4,0.3,shuffled,0.5501817745789062,0.7676364561710767,0.8998275832012235
paper defaults,200,4,0.3,shuffled,0.37735668440051945,0.875351620995761,0.9517683473300753
paper defaults,200,4,0.3,shuffled,0.33843004021914336,0.8972352566687355,0.9449138219565841
paper defaults,200,4,0.3,shuffled,0.27056496664937907,0.9317880798050143,0.9708432645164196
paper defaults,200,4,0.3,shuffled,0.5993199241318417,0.7357353579079187,0.854990074535076
paper defaults,200,4,0.3,shuffled,0.2497282825354029,0.9412967660132227,0.9796073912154093
paper defaults,200,4,0.3,shuffled,0.24139438300391775,0.9449373227819079,0.9742705045324586
paper defaults,200,4,0.3,shuffled,0.6854925828142875,0.6803183514733451,0.8033981064469025
paper defaults,200,4,0.3,shuffled,0.2820846033881604,0.9262932496851692,0.9725908064512269
paper defaults,200,4,0.3,shuffled,0.7160338402944252,0.6610676613623833,0.8287249555697467
paper defaults,200,4,0.3,shuffled,0.6181270911848815,0.7235465410677783,0.853510932236529
paper defaults,200,4,0.3,shuffled,0.3951288704691531,0.864957009041202,0.9513899053880733
paper defaults,200,4,0.3,shuffled,0.8569846736673438,0.5765607093264271,0.5578236902775017
paper defaults,200,4,0.3,shuffled,0.9109221290678631,0.5465140498183055,0.7731155156034422
paper defaults,200,4,0.3,shuffled,0.652395628250635,0.7014491665989638,0.8207822536740138
paper defaults,200,4,0.3,shuffled,0.7270515095302322,0.6541917115537998,0.8080036707966662
paper defaults,200,4,0.3,shuffled,0.4940019359181432,0.8038340229012672,0.8643811503176583
paper defaults,200,4,0.3,shuffled,0.5803167359229053,0.7480732360210721,0.893491344268053
paper defaults,200,4,0.3,shuffled,0.8004002356158542,0.6095180372188961,0.8474816559683216
paper defaults,200,4,0.3,shuffled,0.2852652693805436,0.924747494579145,0.9731499269767833
paper defaults,200,4,0.3,shuffled,0.4537814088420717,0.8292440771709322,0.9397412391575382
paper defaults,200,4,0.3,shuffled,0.5960224803103065,0.7378751631719539,0.8751627639630294
paper defaults,200,4,0.3,shuffled,0.6103043749322488,0.7286126166977713,0.8449163268130195
paper defaults,200,4,0.3,shuffled,0.11777179880773089,0.9863195538827371,0.9949251327903197
paper defaults,200,4,0.3,shuffled,0.6449549256967677,0.7062312197740517,0.8182587089132886
paper defaults,200,4,0.3,shuffled,1.0035751513916917,0.49821561971067385,0.6293329621957161
paper defaults,200,4,0.3,shuffled,0.8990217325527886,0.5530239117540625,0.6250685001701503
paper defaults,200,4,0.3,shuffled,0.625558201104834,0.7187403318577135,0.8255770969706427
paper defaults,200,4,0.3,shuffled,1.0416549959310428,0.4796059257178417,0.588178479838218
paper defaults,200,4,0.3,shuffled,1.1755744937958377,0.41981961862564876,0.5468071818042265
paper defaults,200,4,0.3,shuffled,0.6455666958333013,0.7058376648958873,0.7709190350782208
paper defaults,200,4,0.3,shuffled,0.9331639600656694,0.534532117433193,0.5800891963131731
paper defaults,200,4,0.3,shuffled,0.31406082866181967,0.9102210692770373,0.9574904676022461
paper defaults,200,4,0.3,shuffled,0.9068965496422453,0.5487084809991217,0.6538064258246973
paper defaults,200,4,0.3,shuffled,0.5217182623108987,0.7860461433062406,0.7936086529130099
paper defaults,200,4,0.3,shuffled,0.3623186510262093,0.8839585180232064,0.9410363349670542
paper defaults,200,4,0.3,shuffled,0.4118410405927508,0.8549836257617478,0.9403554743420428
paper defaults,200,4,0.3,shuffled,0.46222290168664704,0.8239607721050379,0.9362635810981714
paper defaults,200,4,0.3,shuffled,0.25236720532605217,0.9401242337090358,0.978390156942168
paper defaults,200,4,0.3,shuffled,0.2911104835283855,0.9218753816623468,0.970977880705746
paper defaults,200,4,0.3,shuffled,0.40493367089268406,0.8591277285386661,0.9358872524532384
